[1.3888303243969993, '34 convention protection']
[1.3777830003021174, 'lodged court article']
[1.3667774430280104, 'court article 34']
[1.2511600123156446, 'article 34 convention']
[1.2461716444765463, 'procedure case originated']
[1.2419951633750035, 'government government represented']
[1.1192835941037378, 'founded meaning article']
[1.110286770583533, 'consequently law indicate']
[1.0478511927300265, 'measure legal protection']
[1.0336581789239294, 'facts circumstances case']
[1.031633843504347, 'declared admissible merits']
[1.0257068267956853, 'grounds declared admissible']
[1.0257068267956853, 'inadmissible grounds declared']
[0.9831310485754674, 'prescribed law necessary']
[0.9685415304120341, 'article 41 convention']
[0.9592701139040775, 'application article 41']
[0.9569418630599437, 'meaning article 35']
[0.9559142563500219, 'court finds violation']
[0.9492558880907211, 'certain margin appreciation']
[0.9460431654676259, 'defined convention requires']
[0.9460431654676259, 'unfettered power consequently']
[0.9460431654676259, 'contrary rule law']
[0.9460431654676259, 'legal discretion granted']
[0.9460431654676259, 'terms unfettered power']
[0.9460431654676259, 'discretion granted executive']
[0.9460431654676259, 'expressed terms unfettered']
[0.9460431654676259, 'power consequently law']
[0.9425003996802558, 'national authorities justify']
[0.9403094180726622, 'freedom expression right']
[0.9327311831399471, 'exercise freedoms carries']
[0.9300509211194301, 'shall include freedom']
[0.9278522191782494, 'freedoms carries duties']
[0.9278522191782494, 'restrictions penalties prescribed']
[0.9278522191782494, 'carries duties responsibilities']
[0.9278522191782494, 'responsibilities subject formalities']
[0.9278522191782494, 'duties responsibilities subject']
[0.9278522191782494, 'penalties prescribed law']
[0.9278522191782494, 'subject formalities conditions']
[0.926102152940826, 'relevant domestic law']
[0.9251782934745657, 'right shall include']
[0.9251782934745657, 'include freedom hold']
[0.9248509845969378, 'ii relevant domestic']
[0.9224291155311046, 'government represented agent']
[0.920318338463368, 'expression right shall']
[0.9169507640528576, 'freedom hold opinions']
[0.9089165084822551, 'little scope article']
[0.9068513869661716, 'impart information ideas']
[0.9063048995095745, 'conditions restrictions penalties']
[0.9027597594055902, 'protection reputation rights']
[0.901569205804834, 'formalities conditions restrictions']
[0.8959128913085748, '35 convention notes']
[0.8944694485096536, 'authority regardless frontiers']
[0.887385329831373, 'provide accurate reliable']
[0.8853197028077505, 'reads follows right']
[0.8848987169711235, 'violation article 10']
[0.8831808690978251, 'merits application time']
[0.8827559030812359, 'notes inadmissible grounds']
[0.8810231461824473, 'convention notes inadmissible']
[0.8784908436886855, 'article 35 convention']
[0.8739408473221423, '10 convention ii']
[0.8715205354144202, 'pressing social need']
[0.8711092156520711, 'fundamental freedoms convention']
[0.8580169357337096, 'article 10 journalists']
[0.8530719130988915, 'exercising supervisory function']
[0.8520109940391963, 'scope article 10']
[0.8466203781161118, 'united communist party']
[0.8466203781161118, 'rigorous european supervision']
[0.8364905708569239, 'safeguard afforded article']
[0.8335858487123345, 'justify relevant sufficient']
