[1.0, u'procedure case originated']
[0.995, u'allows partial reparation']
[0.95499999999999996, u'domestic law practice']
[0.84999999999999998, u'high contracting parties']
[0.69999999999999996, u'article 46 convention']
[0.67000000000000004, u'republic bulgaria lodged']
[0.625, u'commission human rights']
[0.60999999999999999, u'court does consider']
[0.60999999999999999, u'european commission human']
[0.58999999999999997, u'right peaceful enjoyment']
[0.57999999999999996, u'taken conjunction article']
[0.57499999999999996, u'remedy required article']
[0.56999999999999995, u'basis domestic law']
[0.56999999999999995, u'inadmissible grounds declared']
[0.56999999999999995, u'inhuman degrading treatment']
[0.56999999999999995, u'satisfy requirements article']
[0.56999999999999995, u'ukrainian government government']
[0.56999999999999995, u'value added tax']
[0.56499999999999995, u'connection court notes']
[0.56499999999999995, u'grounds declared admissible']
[0.56499999999999995, u'reach different conclusion']
[0.56499999999999995, u'violation right trial']
[0.56000000000000005, u'violation article protocol']
[0.55500000000000005, u'code criminal procedure']
[0.55000000000000004, u'republic turkey lodged']
[0.55000000000000004, u'state legal obligation']
[0.54000000000000004, u'meaning article convention']
[0.54000000000000004, u'respect private life']
[0.54000000000000004, u'right hearing reasonable']
[0.53500000000000003, u'determination criminal charge']
[0.53500000000000003, u'private life correspondence']
[0.53500000000000003, u'violation articles 13']
[0.53000000000000003, u'allegations ill treatment']
[0.53000000000000003, u'declared admissible merits']
[0.52500000000000002, u'gc 36813 97']
[0.52500000000000002, u'great britain northern']
[0.52500000000000002, u'risk ill treatment']
[0.52000000000000002, u'convention rights freedoms']
[0.52000000000000002, u'length civil proceedings']
[0.52000000000000002, u'proceedings article 13']
[0.52000000000000002, u'public authority exercise']
[0.51500000000000001, u'adequate redress violation']
[0.51500000000000001, u'compensation non pecuniary']
[0.51500000000000001, u'excessive length proceedings']
[0.51500000000000001, u'kingdom great britain']
[0.51500000000000001, u'life shall protected']
[0.51000000000000001, u'case reasonable time']
[0.51000000000000001, u'government preliminary objection']
[0.51000000000000001, u'legitimate aim pursued']
[0.505, u'alleged violation article']
[0.505, u'arguable terms convention']
[0.505, u'degrading treatment punishment']
[0.505, u'having regard criteria']
[0.505, u'originated application ukraine']
[0.505, u'purposes article 13']
[0.505, u'rights building strasbourg']
[0.505, u'sentenced years imprisonment']
[0.5, u'arguable purposes article']
[0.5, u'circumstances particular case']
[0.5, u'conclusion present case']
[0.5, u'identification punishment responsible']
[0.5, u'institute criminal proceedings']
[0.5, u'person action taken']
[0.5, u'risk treatment contrary']
[0.5, u'safeguard lives jurisdiction']
[0.5, u'satisfy reasonable time']
[0.5, u'shall protected law']
[0.495, u'remedy national level']
[0.495, u'respondent state legal']
[0.495, u'slovak republic lodged']
[0.48999999999999999, u'britain northern ireland']
[0.48999999999999999, u'code civil procedure']
[0.48999999999999999, u'conditions applicant detention']
[0.48999999999999999, u'international human rights']
[0.48999999999999999, u'length proceedings domestic']
[0.48999999999999999, u'redress delays occurred']
[0.48999999999999999, u'rights guaranteed article']
[0.48999999999999999, u'varies depending nature']
[0.48499999999999999, u'application slovak republic']
[0.48499999999999999, u'court human rights']
[0.48499999999999999, u'government informed court']
[0.48499999999999999, u'particular circumstances case']
[0.48499999999999999, u'redress violation occurred']
[0.48499999999999999, u'rights article convention']
[0.47999999999999998, u'article 13 does']
[0.47999999999999998, u'complaint article 13']
[0.47999999999999998, u'complexity case conduct']
