[1.0, u'procedure case originated']
[0.96999999999999997, u'high contracting parties']
[0.93000000000000005, u'case originated application']
[0.91000000000000003, u'code criminal procedure']
[0.89000000000000001, u'applicant state health']
[0.84499999999999997, u'identification punishment responsible']
[0.83999999999999997, u'article convention reads']
[0.82999999999999996, u'risk ill treatment']
[0.81499999999999995, u'turkey lodged court']
[0.73999999999999999, u'treatment contrary article']
[0.70499999999999996, u'lack adequate medical']
[0.68999999999999995, u'court considers appropriate']
[0.66000000000000003, u'finding violation article']
[0.65500000000000003, u'access natural light']
[0.61499999999999999, u'complained conditions detention']
[0.60999999999999999, u'persons deprived liberty']
[0.60999999999999999, u'provides shall subjected']
[0.59999999999999998, u'assessment minimum level']
[0.58499999999999996, u'moldova lodged court']
[0.57999999999999996, u'alleged ill treatment']
[0.57999999999999996, u'use force police']
[0.57499999999999996, u'committee prevention torture']
[0.56999999999999995, u'cruel inhuman degrading']
[0.56999999999999995, u'non governmental organisations']
[0.56499999999999995, u'rule 39 rules']
[0.56000000000000005, u'criminal proceedings applicant']
[0.56000000000000005, u'period applicant detention']
[0.56000000000000005, u'rights building strasbourg']
[0.55500000000000005, u'domestic law practice']
[0.55000000000000004, u'human rights violation']
[0.54500000000000004, u'anguish inferiority capable']
[0.54500000000000004, u'court russian federation']
[0.54500000000000004, u'lack personal space']
[0.54500000000000004, u'life shall interference']
[0.54500000000000004, u'makes provision exceptions']
[0.54500000000000004, u'relative depends circumstances']
[0.54500000000000004, u'sentenced life imprisonment']
[0.54500000000000004, u'unavoidable level suffering']
[0.54000000000000004, u'action taken view']
[0.54000000000000004, u'contrary article convention']
[0.54000000000000004, u'number inmates cell']
[0.54000000000000004, u'ukraine lodged court']
[0.53500000000000003, u'applicant government filed']
[0.53500000000000003, u'article convention provides']
[0.53500000000000003, u'exceeding unavoidable level']
[0.53500000000000003, u'fear anguish inferiority']
[0.53500000000000003, u'life shall protected']
[0.53500000000000003, u'persons custody vulnerable']
[0.53500000000000003, u'prevention torture inhuman']
[0.53000000000000003, u'35 convention notes']
[0.53000000000000003, u'adequate medical treatment']
[0.53000000000000003, u'article 46 convention']
[0.53000000000000003, u'declared admissible merits']
[0.53000000000000003, u'degrading meaning article']
[0.53000000000000003, u'responsible article convention']
[0.53000000000000003, u'state responsible article']
[0.53000000000000003, u'treatment administered private']
[0.52500000000000002, u'allows partial reparation']
[0.52500000000000002, u'convention notes inadmissible']
[0.52500000000000002, u'reasonably considered necessary']
[0.52000000000000002, u'article convention iii']
[0.52000000000000002, u'ill treatment police']
[0.52000000000000002, u'standard proof reasonable']
[0.51500000000000001, u'18 september 2001']
[0.51500000000000001, u'52 rules court']
[0.51500000000000001, u'amounted degrading treatment']
[0.51500000000000001, u'amounted inhuman degrading']
[0.51500000000000001, u'article 35 convention']
[0.51500000000000001, u'degrading treatment punishment']
