[1.0, u'integrity']
[0.97999999999999998, u'publication']
[0.88, u'admissible']
[0.87, u'parent']
[0.81999999999999995, u'parental']
[0.81000000000000005, u'competing']
[0.79000000000000004, u'revision']
[0.73999999999999999, u'ties']
[0.72999999999999998, u'paternity']
[0.66000000000000003, u'applicability']
[0.66000000000000003, u'ireland']
[0.64000000000000001, u'prisoners']
[0.64000000000000001, u'process']
[0.64000000000000001, u'surveillance']
[0.62, u'homosexual']
[0.60999999999999999, u'differences']
[0.60999999999999999, u'offences']
[0.59999999999999998, u'g\xf6lc\xfckl\xfc']
[0.59999999999999998, u'margin']
[0.58999999999999997, u'77']
[0.58999999999999997, u'alien']
[0.58999999999999997, u'arising']
[0.58999999999999997, u'difference']
[0.58999999999999997, u'marriage']
[0.58999999999999997, u'officers']
[0.57999999999999996, u'censorship']
[0.57999999999999996, u'contexts']
[0.57999999999999996, u'person']
[0.56999999999999995, u'searches']
[0.56000000000000005, u'2004']
[0.56000000000000005, u'discretion']
[0.56000000000000005, u'prison']
[0.55000000000000004, u'ambit']
[0.55000000000000004, u'confidentiality']
[0.55000000000000004, u'consenting']
[0.55000000000000004, u'covert']
[0.55000000000000004, u'editorial']
[0.55000000000000004, u'imposes']
[0.55000000000000004, u'lived']
[0.55000000000000004, u'pursues']
[0.55000000000000004, u'states']
[0.54000000000000004, u'2006']
[0.54000000000000004, u'birth']
[0.54000000000000004, u'burning']
[0.54000000000000004, u'expulsion']
[0.54000000000000004, u'orientation']
[0.54000000000000004, u'reputation']
[0.54000000000000004, u'resident']
[0.53000000000000003, u'11']
[0.53000000000000003, u'2003']
[0.53000000000000003, u'aliens']
[0.53000000000000003, u'appreciation']
[0.53000000000000003, u'bodily']
[0.53000000000000003, u'complements']
[0.53000000000000003, u'examined']
[0.53000000000000003, u'grievances']
[0.53000000000000003, u'privacy']
[0.53000000000000003, u'searched']
[0.52000000000000002, u'absconding']
[0.52000000000000002, u'addressee']
[0.52000000000000002, u'coercion']
[0.52000000000000002, u'deported']
[0.52000000000000002, u'disclosure']
[0.52000000000000002, u'envelope']
[0.52000000000000002, u'just']
[0.52000000000000002, u'measure']
[0.52000000000000002, u'memorial']
[0.52000000000000002, u'merits']
[0.52000000000000002, u'obligations']
[0.52000000000000002, u'surnames']
[0.51000000000000001, u'arguable']
[0.51000000000000001, u'breach']
[0.51000000000000001, u'constituted']
[0.51000000000000001, u'contravene']
[0.51000000000000001, u'defamation']
[0.51000000000000001, u'eviction']
[0.51000000000000001, u'forces']
[0.51000000000000001, u'ill']
[0.51000000000000001, u'patient']
[0.51000000000000001, u'positive']
[0.51000000000000001, u'prisons']
[0.51000000000000001, u'release']
[0.51000000000000001, u'represented']
[0.5, u'biological']
[0.5, u'consent']
