[0.98999999999999999, u'chamber']
[0.94999999999999996, u'question']
[0.89000000000000001, u'particular']
[0.82999999999999996, u'complained']
[0.75, u'editorial']
[0.75, u'execute']
[0.75, u'issue']
[0.73999999999999999, u'2006']
[0.71999999999999997, u'debt']
[0.69999999999999996, u'states']
[0.68000000000000005, u'moldova']
[0.64000000000000001, u'laptev']
[0.59999999999999998, u'bailiffs']
[0.56999999999999995, u'annulment']
[0.56999999999999995, u'garlicki']
[0.56999999999999995, u'uah']
[0.56000000000000005, u'77']
[0.56000000000000005, u'consequences']
[0.56000000000000005, u'did']
[0.56000000000000005, u'existence']
[0.56000000000000005, u'funds']
[0.56000000000000005, u'land']
[0.56000000000000005, u'ownership']
[0.56000000000000005, u'rur']
[0.55000000000000004, u'bear']
[0.55000000000000004, u'debtor']
[0.55000000000000004, u'examined']
[0.55000000000000004, u'held']
[0.55000000000000004, u'russia']
[0.55000000000000004, u'turkish']
[0.54000000000000004, u'_______']
[0.54000000000000004, u'balance']
[0.54000000000000004, u'inflation']
[0.54000000000000004, u'principal']
[0.54000000000000004, u'ukrainian']
[0.53000000000000003, u'execution']
[0.53000000000000003, u'instant']
[0.53000000000000003, u'nicolas']
[0.53000000000000003, u'notion']
[0.53000000000000003, u'paragraph']
[0.53000000000000003, u'ukraine']
[0.53000000000000003, u'unenforced']
[0.53000000000000003, u'zakon']
[0.52000000000000002, u'cases']
[0.52000000000000002, u'existing']
[0.52000000000000002, u'expropriation']
[0.51000000000000001, u'justice']
[0.51000000000000001, u'official']
[0.51000000000000001, u'opinion']
[0.51000000000000001, u'ready']
[0.51000000000000001, u'submission']
[0.51000000000000001, u'treatment']
[0.51000000000000001, u'turkey']
[0.5, u'currency']
[0.5, u'fair']
[0.5, u'issues']
[0.5, u'political']
[0.5, u'prevented']
[0.5, u'trl']
[0.5, u'value']
[0.48999999999999999, u'admissible']
[0.48999999999999999, u'appreciation']
[0.48999999999999999, u'chi\u015fin\u0103u']
[0.48999999999999999, u'market']
[0.48999999999999999, u'reduction']
[0.48999999999999999, u'regarded']
[0.48999999999999999, u'said']
[0.48999999999999999, u'series']
[0.48999999999999999, u'unanimously']
[0.47999999999999998, u'failing']
[0.47999999999999998, u'invited']
[0.47999999999999998, u'lei']
[0.47999999999999998, u'sitting']
[0.47999999999999998, u'uncertainty']
[0.46999999999999997, u'articles']
[0.46999999999999997, u'awarded']
[0.46999999999999997, u'obligations']
[0.46999999999999997, u'paying']
[0.46999999999999997, u'result']
[0.46999999999999997, u'romania']
[0.46999999999999997, u'russian']
[0.46999999999999997, u'upset']
[0.46000000000000002, u'contained']
[0.46000000000000002, u'criminal']
[0.45000000000000001, u'16']
[0.45000000000000001, u'clearly']
[0.45000000000000001, u'dollars']
[0.45000000000000001, u'notified']
[0.44, u'15']
[0.44, u'advanced']
[0.44, u'dispute']
[0.44, u'kingdom']
[0.42999999999999999, u'impossible']
[0.42999999999999999, u'legislature']
[0.42999999999999999, u'moldovan']
[0.42999999999999999, u'pay']
[0.42999999999999999, u'pensions']
[0.42999999999999999, u'statutory']
[0.42999999999999999, u'trial']
[0.41999999999999998, u'acting']
[0.41999999999999998, u'benefits']
[0.41999999999999998, u'french']
[0.41999999999999998, u'items']
[0.41999999999999998, u'make']
[0.41999999999999998, u'mascolo']
[0.41999999999999998, u'nature']
[0.41999999999999998, u'roubles']
[0.41999999999999998, u'yugoslavia']
[0.40999999999999998, u'authority']
[0.40999999999999998, u'brum\u0103rescu']
[0.40999999999999998, u'enforceable']
[0.40999999999999998, u'favour']
[0.40999999999999998, u'malta']
[0.40999999999999998, u'place']
[0.40000000000000002, u'accrued']
[0.40000000000000002, u'bratza']
[0.40000000000000002, u'municipality']
[0.40000000000000002, u'sale']
[0.39000000000000001, u'acquire']
[0.39000000000000001, u'butkevych']
[0.39000000000000001, u'entitlement']
[0.39000000000000001, u'liras']
[0.39000000000000001, u'money']
[0.39000000000000001, u'usd']
[0.38, u'50']
[0.38, u'enforcement']
[0.38, u'notwithstanding']
[0.37, u'aspects']
[0.37, u'city']
[0.37, u'ibid']
[0.37, u'lo']
[0.37, u'notify']
[0.37, u'prosecutor']
[0.37, u'quashing']
[0.37, u'reserved']
[0.35999999999999999, u'action']
[0.35999999999999999, u'capacity']
[0.35999999999999999, u'established']
[0.34999999999999998, u'come']
[0.34999999999999998, u'debts']
[0.34999999999999998, u'point']
[0.34999999999999998, u'prodan']
[0.34000000000000002, u'manner']
[0.34000000000000002, u'payments']
[0.34000000000000002, u'secured']
[0.33000000000000002, u'bulgarian']
[0.33000000000000002, u'contrary']
[0.33000000000000002, u'decide']
[0.33000000000000002, u'declared']
[0.33000000000000002, u'incompatible']
[0.33000000000000002, u'judicata']
[0.33000000000000002, u'knowledge']
[0.33000000000000002, u'lending']
[0.33000000000000002, u'marginal']
[0.33000000000000002, u'mere']
[0.33000000000000002, u'old']
[0.33000000000000002, u'pace']
[0.33000000000000002, u'reflect']
[0.33000000000000002, u'refused']
[0.33000000000000002, u'return']
[0.33000000000000002, u'women']
[0.32000000000000001, u'minority']
[0.32000000000000001, u'pavlovschi']
[0.32000000000000001, u'restitutio']
[0.32000000000000001, u'section']
[0.32000000000000001, u'sir']
[0.31, u'conversations']
[0.31, u'federation']
[0.31, u'forced']
[0.31, u'lutkovska']
[0.31, u'suffered']
[0.31, u'unfair']
[0.31, u'united']
[0.29999999999999999, u'accordance']
[0.29999999999999999, u'council']
[0.29999999999999999, u'discriminatory']
[0.29999999999999999, u'experts']
[0.29999999999999999, u'pension']
[0.28999999999999998, u'entitlements']
[0.28999999999999998, u'inoperative']
[0.28999999999999998, u'jurisdiction']
[0.28999999999999998, u'mrs']
[0.28999999999999998, u'situation']
[0.28999999999999998, u'useful']
[0.28999999999999998, u'violated']
[0.28000000000000003, u'burden']
[0.28000000000000003, u'fresh']
[0.28000000000000003, u'operative']
[0.28000000000000003, u'recovery']
[0.27000000000000002, u'65731']
[0.27000000000000002, u'ambit']
[0.27000000000000002, u'invoked']
[0.27000000000000002, u'laid']
[0.27000000000000002, u'og']
[0.27000000000000002, u'village']
[0.26000000000000001, u'accepted']
[0.26000000000000001, u'proprietary']
[0.26000000000000001, u'revision']
[0.25, u'business']
[0.25, u'compensation']
[0.25, u'confiscation']
[0.25, u'facts']
[0.25, u'lawyers']
[0.25, u'maltese']
[0.25, u'principle']
[0.25, u'real']
[0.25, u'receiving']
[0.25, u'sentence']
[0.25, u'serbian']
[0.25, u'turning']
[0.23999999999999999, u'65900']
[0.23999999999999999, u'deposits']
[0.23999999999999999, u'ill']
[0.23999999999999999, u'security']
[0.23000000000000001, u'accused']
[0.23000000000000001, u'agreement']
[0.23000000000000001, u'conjunction']
[0.23000000000000001, u'difference']
[0.23000000000000001, u'differently']
[0.23000000000000001, u'integrum']
[0.23000000000000001, u'justification']
[0.23000000000000001, u'written']
[0.22, u'assuming']
[0.22, u'constitute']
[0.22, u'defendant']
[0.22, u'excessive']
[0.22, u'executed']
[0.22, u'ground']
[0.22, u'imposes']
[0.22, u'litigation']
[0.22, u'open']
[0.22, u'referred']
[0.22, u'separate']
[0.20999999999999999, u'considered']
[0.20999999999999999, u'covers']
[0.20999999999999999, u'harmonisation']
[0.20999999999999999, u'social']
[0.20999999999999999, u'villagers']
[0.20000000000000001, u'2004']
[0.20000000000000001, u'aka']
[0.20000000000000001, u'completing']
[0.20000000000000001, u'forces']
[0.20000000000000001, u'necessarily']
[0.20000000000000001, u'paid']
[0.20000000000000001, u'religion']
[0.19, u'34']
[0.19, u'assessment']
[0.19, u'estate']
[0.19, u'greece']
[0.19, u'impartial']
[0.19, u'kovler']
[0.19, u'loss']
[0.19, u'sustain']
[0.19, u'taken']
[0.19, u'victim']
[0.17999999999999999, u'based']
[0.17999999999999999, u'concession']
[0.17999999999999999, u'corresponding']
[0.17999999999999999, u'judge']
[0.17999999999999999, u'withdrawal']
[0.17000000000000001, u'800']
[0.17000000000000001, u'accepts']
[0.17000000000000001, u'alternative']
[0.17000000000000001, u'bgn']
[0.17000000000000001, u'decision']
[0.17000000000000001, u'detriment']
[0.17000000000000001, u'expropriated']
[0.17000000000000001, u'ratification']
[0.17000000000000001, u's\xfad']
[0.17000000000000001, u'total']
[0.16, u'addition']
[0.16, u'basic']
[0.16, u'okresn\xfd']
[0.16, u'power']
[0.16, u'submit']
[0.16, u'sustained']
[0.14999999999999999, u'destruction']
[0.14999999999999999, u'indicated']
[0.14999999999999999, u'pensionable']
[0.14999999999999999, u'provision']
[0.14999999999999999, u'respect']
[0.14999999999999999, u'taxation']
[0.14999999999999999, u'welfare']
[0.14000000000000001, u'central']
[0.14000000000000001, u'conditional']
[0.14000000000000001, u'constitutional']
[0.14000000000000001, u'creditors']
[0.14000000000000001, u'discrimination']
[0.14000000000000001, u'entry']
[0.14000000000000001, u'federal']
[0.14000000000000001, u'imposition']
[0.14000000000000001, u'insurance']
[0.14000000000000001, u'liable']
[0.14000000000000001, u'negotiated']
[0.14000000000000001, u'offence']
[0.14000000000000001, u'parallel']
[0.14000000000000001, u'poland']
[0.14000000000000001, u'problem']
[0.14000000000000001, u'surrounding']
[0.14000000000000001, u'unless']
[0.14000000000000001, u'villages']
[0.13, u'325']
[0.13, u'applies']
[0.13, u'arbitrary']
[0.13, u'concluded']
[0.13, u'impossibility']
[0.13, u'men']
[0.13, u'nationalised']
[0.13, u'related']
[0.13, u'se']
[0.13, u'substantive']
[0.12, u'breached']
[0.12, u'bulgaria']
[0.12, u'construction']
[0.12, u'hours']
[0.12, u'lived']
[0.12, u'lorenzen']
[0.12, u'manifestly']
[0.12, u'policy']
[0.12, u'possible']
[0.12, u'provisions']
[0.12, u'serbia']
