[1.0, u'question']
[0.94999999999999996, u'admissible']
[0.90000000000000002, u'based']
[0.83999999999999997, u'particular']
[0.83999999999999997, u'rur']
[0.67000000000000004, u'editorial']
[0.63, u'_______']
[0.63, u'execution']
[0.62, u'dollars']
[0.62, u'ukrainian']
[0.60999999999999999, u'russia']
[0.60999999999999999, u'uah']
[0.58999999999999997, u'chamber']
[0.58999999999999997, u'decision']
[0.58999999999999997, u'maltese']
[0.58999999999999997, u'result']
[0.58999999999999997, u'stated']
[0.57999999999999996, u'laptev']
[0.57999999999999996, u'states']
[0.56999999999999995, u'issue']
[0.56999999999999995, u'liras']
[0.56999999999999995, u'trial']
[0.56000000000000005, u'balance']
[0.56000000000000005, u'debt']
[0.56000000000000005, u'failing']
[0.56000000000000005, u'lutkovska']
[0.56000000000000005, u'manifestly']
[0.56000000000000005, u'quit']
[0.56000000000000005, u'reserved']
[0.56000000000000005, u'ukraine']
[0.55000000000000004, u'burden']
[0.55000000000000004, u'moldova']
[0.55000000000000004, u'paragraph']
[0.55000000000000004, u'provision']
[0.54000000000000004, u'confiscation']
[0.54000000000000004, u'consequences']
[0.54000000000000004, u'determine']
[0.54000000000000004, u'issues']
[0.54000000000000004, u'pensions']
[0.53000000000000003, u'77']
[0.53000000000000003, u'magistrate']
[0.53000000000000003, u'sir']
[0.53000000000000003, u'situation']
[0.53000000000000003, u'treatment']
[0.53000000000000003, u'value']
[0.52000000000000002, u'2003']
[0.52000000000000002, u'criminal']
[0.52000000000000002, u'enforcement']
[0.52000000000000002, u'entry']
[0.52000000000000002, u'forced']
[0.52000000000000002, u'notified']
[0.52000000000000002, u'revision']
[0.52000000000000002, u'unenforced']
[0.52000000000000002, u'vacated']
[0.51000000000000001, u'fresh']
[0.51000000000000001, u'impossible']
[0.51000000000000001, u'lei']
[0.51000000000000001, u'principal']
[0.51000000000000001, u'russian']
[0.51000000000000001, u'section']
[0.51000000000000001, u'sought']
[0.51000000000000001, u'tenants']
[0.51000000000000001, u'unanimously']
[0.5, u'agreement']
[0.5, u'assets']
[0.5, u'execute']
[0.5, u'experts']
[0.5, u'length']
[0.5, u'opinion']
[0.5, u'paying']
[0.5, u'ready']
[0.5, u'regarded']
[0.5, u'taken']
[0.48999999999999999, u'arising']
[0.48999999999999999, u'chi\u015fin\u0103u']
[0.48999999999999999, u'compensation']
[0.48999999999999999, u'depriving']
[0.48999999999999999, u'discriminatory']
[0.48999999999999999, u'purposes']
[0.48999999999999999, u'saffi']
[0.48999999999999999, u'sale']
[0.48999999999999999, u'trl']
[0.47999999999999998, u'15']
[0.47999999999999998, u'awarded']
[0.47999999999999998, u'currency']
[0.47999999999999998, u'established']
[0.47999999999999998, u'french']
[0.47999999999999998, u'litigation']
[0.47999999999999998, u'measures']
[0.47999999999999998, u'mrs']
[0.47999999999999998, u'sustained']
[0.47999999999999998, u'written']
[0.46999999999999997, u'funds']
[0.46999999999999997, u'invited']
[0.46999999999999997, u'lack']
[0.46999999999999997, u'recovered']
[0.46000000000000002, u'according']
[0.46000000000000002, u'breach']
[0.46000000000000002, u'clearly']
[0.46000000000000002, u'defendant']
[0.46000000000000002, u'destruction']
[0.46000000000000002, u'enforceable']
[0.46000000000000002, u'laid']
[0.46000000000000002, u'poland']
[0.46000000000000002, u'principle']
[0.46000000000000002, u'roubles']
[0.45000000000000001, u'debtor']
[0.45000000000000001, u'did']
[0.45000000000000001, u'held']
[0.45000000000000001, u'including']
[0.45000000000000001, u'land']
[0.45000000000000001, u'moldovan']
[0.44, u'appreciation']
[0.44, u'constitute']
[0.44, u'existing']
[0.44, u'filed']
[0.44, u'obligations']
[0.44, u'og']
[0.44, u'paid']
[0.44, u'repossess']
[0.44, u'writing']
[0.42999999999999999, u'city']
[0.42999999999999999, u'considered']
[0.42999999999999999, u'creditors']
[0.42999999999999999, u'immobiliare']
[0.42999999999999999, u'marginal']
[0.42999999999999999, u'statutory']
[0.41999999999999998, u'2006']
[0.41999999999999998, u'authority']
[0.41999999999999998, u'bear']
[0.41999999999999998, u'justice']
[0.41999999999999998, u'leanza']
[0.41999999999999998, u'occurred']
[0.41999999999999998, u'ownership']
[0.41999999999999998, u'raising']
[0.41999999999999998, u'said']
[0.41999999999999998, u'total']
[0.40999999999999998, u'1993']
[0.40999999999999998, u'bailiff']
[0.40999999999999998, u'bailiffs']
[0.40999999999999998, u'bgn']
[0.40999999999999998, u'consider']
[0.40999999999999998, u'detriment']
[0.40999999999999998, u'expropriated']
[0.40999999999999998, u'italian']
[0.40999999999999998, u'liable']
[0.40999999999999998, u'prevented']
[0.40999999999999998, u'summoned']
[0.40999999999999998, u'tenant']
[0.40000000000000002, u'commission']
[0.40000000000000002, u'consequently']
[0.40000000000000002, u'discrimination']
[0.40000000000000002, u'entitlement']
[0.40000000000000002, u'examined']
[0.40000000000000002, u'expropriation']
[0.40000000000000002, u'italy']
[0.40000000000000002, u'notify']
[0.40000000000000002, u'usd']
[0.39000000000000001, u'16']
[0.39000000000000001, u'advanced']
[0.39000000000000001, u'enjoyed']
[0.39000000000000001, u'legislation']
[0.39000000000000001, u'policy']
[0.39000000000000001, u'quashing']
[0.39000000000000001, u'satisfied']
[0.39000000000000001, u'useful']
[0.38, u'bulgaria']
[0.38, u'inoperative']
[0.38, u'terms']
[0.37, u'50']
[0.37, u'bulgarian']
[0.37, u'federation']
[0.37, u'prosecution']
[0.37, u'sentence']
[0.37, u'submission']
[0.35999999999999999, u'annulment']
[0.35999999999999999, u'eviction']
[0.35999999999999999, u'lawyers']
[0.35999999999999999, u'lending']
[0.35999999999999999, u'null']
[0.35999999999999999, u'receiving']
[0.35999999999999999, u'statute']
[0.35999999999999999, u'unless']
[0.35999999999999999, u'vacate']
[0.35999999999999999, u'zakon']
[0.34999999999999998, u'mere']
[0.34999999999999998, u'relaxing']
[0.34999999999999998, u'sustain']
[0.34999999999999998, u'void']
[0.34999999999999998, u'zlotys']
[0.34000000000000002, u'euros']
[0.34000000000000002, u'legislature']
[0.34000000000000002, u'nature']
[0.34000000000000002, u'operative']
[0.34000000000000002, u'pavlovschi']
[0.34000000000000002, u'pension']
[0.34000000000000002, u'place']
[0.33000000000000002, u'complained']
[0.33000000000000002, u'fall']
[0.33000000000000002, u'individual']
[0.33000000000000002, u'lived']
[0.33000000000000002, u'order']
[0.33000000000000002, u'run']
[0.33000000000000002, u'turkish']
[0.32000000000000001, u'aka']
[0.32000000000000001, u'cari\u0107']
[0.32000000000000001, u'municipality']
[0.32000000000000001, u'reports']
[0.32000000000000001, u'solely']
[0.32000000000000001, u'yugoslavia']
[0.31, u'afforded']
[0.31, u'arbitrary']
[0.31, u'bortnovska']
[0.31, u'capacity']
[0.31, u'free']
[0.31, u'owner']
[0.29999999999999999, u'casadevall']
[0.29999999999999999, u'deroga']
[0.29999999999999999, u'patti']
[0.29999999999999999, u'serbian']
[0.28999999999999998, u'delays']
