[1.1742594254937164, 'enshrines basic values']
[1.166004025896306, 'basic values democratic']
[1.0939359318664035, 'votes violation article']
[1.0778595217651497, 'values democratic societies']
[1.077528097276751, 'making council europe']
[1.077528097276751, 'societies making council']
[1.077528097276751, 'democratic societies making']
[1.0696170169573245, 'article convention provides']
[1.055351343858908, 'provides right life']
[1.0335224208060494, 'convention rule 74']
[1.0335224208060494, 'accordance article 45']
[1.0335224208060494, '74 rules court']
[1.0335224208060494, 'rule 74 rules']
[1.0335224208060494, '45 convention rule']
[1.0075528292915852, 'article 45 convention']
[0.992661394424084, '13 convention holds']
[0.9893944823980428, 'procedure case originated']
[0.979734881089988, 'commission human rights']
[0.9789602227844947, '34 convention protection']
[0.969340717994219, 'effective practice law']
[0.9593560452217995, 'lodged court article']
[0.9558658077234484, 'article 13 varies']
[0.9558658077234484, '13 varies depending']
[0.9519206819027286, '13 effective practice']
[0.943670094118927, 'object purpose convention']
[0.9401778202759783, 'european commission human']
[0.9394608314746989, 'domestic law practice']
[0.9369665780003195, 'life shall protected']
[0.9369665780003195, 'shall protected law']
[0.9369665780003195, 'right life shall']
[0.9193884362196751, 'facts circumstances case']
[0.9170231940966177, 'human rights commission']
[0.9140422820130747, 'accordance article 44']
[0.912880052718962, '77 rules court']
[0.912880052718962, 'rule 77 rules']
[0.9084939468665516, 'authorities respondent state']
[0.9073614662483602, 'make safeguards practical']
[0.9073614662483602, 'safeguards practical effective']
[0.9071163612739175, 'pursuant rule 77']
[0.906424472841201, 'depending nature applicant']
[0.906424472841201, 'nature applicant complaint']
[0.9047678866090733, 'founded meaning article']
[0.9043351278878909, 'editorial revision case']
[0.8976787772789727, 'months settlement simple']
[0.8961539822000474, 'plus percentage points']
[0.8946416344278886, 'default period plus']
[0.8946416344278886, 'rate equal marginal']
[0.8946416344278886, 'central bank default']
[0.8946416344278886, 'period plus percentage']
[0.8946416344278886, 'bank default period']
[0.8946416344278886, 'equal marginal lending']
[0.894275371152041, 'sitting chamber composed']
[0.8938276572350705, 'alleged violation article']
[0.893141582166073, 'lending rate european']
[0.893141582166073, 'rate european central']
[0.893141582166073, 'european central bank']
[0.893141582166073, 'marginal lending rate']
[0.8864350128346569, 'provision domestic remedy']
[0.8863315661065865, 'holds votes violation']
[0.884664577979606, 'settlement simple shall']
[0.884664577979606, 'simple shall payable']
[0.8843992908030327, 'bank added percentage']
[0.8843992908030327, 'based marginal lending']
[0.8843992908030327, 'added percentage points']
[0.8843992908030327, 'central bank added']
[0.8830313841364075, 'section sitting chamber']
[0.8822331169727937, 'section registrar having']
[0.8818460685454202, 'percentage points reasons']
[0.8818460685454202, 'points reasons court']
[0.8793621313295458, 'article 34 convention']
[0.8722547566802504, 'concerning incident including']
[0.8669533339192226, 'turkey european court']
[0.8618146272546624, 'court article 34']
[0.8606141504208019, 'identification punishment responsible']
[0.85454776682752, 'english notified writing']
[0.8534516140387931, 'risk subjected treatment']
[0.852595751047277, 'members security forces']
[0.8511616042633044, 'case originated application']
[0.8509874326750448, 'risk treatment contrary']
[0.8483334445843992, 'deficiency investigation undermines']
[0.8445708243685828, 'mentioned months settlement']
[0.8426021995961454, 'convention instrument protection']
[0.8359558251993093, 'allows partial reparation']
[0.8355269722319647, 'necessary afford just']
[0.8355269722319647, 'afford just satisfaction']
[0.8355269722319647, 'just satisfaction injured']
[0.8355269722319647, 'court shall necessary']
[0.8355269722319647, 'shall necessary afford']
[0.8355269722319647, 'satisfaction injured party']
[0.8318251621066791, 'non pecuniary damage']
[0.8268641772873437, 'high contracting party']
[0.8236068846481773, 'article 13 effective']
[0.8187150214296216, 'appropriate steps safeguard']
[0.8148035291727747, 'evidence concerning incident']
[0.8141695753904012, 'republic turkey lodged']
[0.8139574509392646, 'conviction crime penalty']
[0.8139574509392646, 'following conviction crime']
[0.8139574509392646, 'penalty provided law']
[0.8056840918950723, 'dismisses unanimously remainder']
[0.796645794106056, 'commission article 25']
[0.7965033101436265, 'took place public']
[0.7959533350171683, 'interpreted applied make']
