[1.0, u'limits acceptable criticism']
[0.97999999999999998, u'subject editorial revision']
[0.95999999999999996, u'exercise freedom expression']
[0.91000000000000003, u'26 april 1979']
[0.66000000000000003, u'date procedure case']
[0.62, u'national authorities justify']
[0.60999999999999999, u'facts circumstances case']
[0.60999999999999999, u'judgments susceptible proof']
[0.58999999999999997, u'applying given independent']
[0.56999999999999995, u'austria judgment strasbourg']
[0.56999999999999995, u'rights freedoms defined']
[0.56000000000000005, u'breach article 10']
[0.56000000000000005, u'enjoy public confidence']
[0.56000000000000005, u'violation article 10']
[0.55000000000000004, u'careful scrutiny court']
[0.55000000000000004, u'constitutes essential foundations']
[0.55000000000000004, u'person private life']
[0.55000000000000004, u'public right receive']
[0.55000000000000004, u'substance ideas information']
[0.54000000000000004, u'aims prescribed law']
[0.54000000000000004, u'applicant freedom expression']
[0.53000000000000003, u'freedom expression right']
[0.53000000000000003, u'human rights building']
[0.53000000000000003, u'paragraph article 10']
[0.52000000000000002, u'10 convention ii']
[0.52000000000000002, u'article 11 convention']
[0.52000000000000002, u'certain margin appreciation']
[0.52000000000000002, u'complained light case']
[0.52000000000000002, u'field designed cover']
[0.52000000000000002, u'legitimate aim pursued']
[0.51000000000000001, u'jurisdiction rights freedoms']
[0.51000000000000001, u'offend shock disturb']
[0.51000000000000001, u'protection journalistic sources']
[0.51000000000000001, u'respect reputation rights']
[0.51000000000000001, u'section sitting chamber']
[0.5, u'bear reasonable relationship']
[0.5, u'expression prescribed law']
[0.5, u'governed rule law']
[0.5, u'instituted criminal proceedings']
[0.5, u'light case including']
[0.5, u'prior restraints publication']
[0.5, u'rights building strasbourg']
[0.5, u'rule 77 rules']
[0.5, u'society meaning convention']
[0.5, u'wider limits acceptable']
[0.48999999999999999, u'restriction freedom expression']
[0.48999999999999999, u'substitute views press']
[0.48999999999999999, u'turkish government government']
[0.48999999999999999, u'value judgments susceptible']
[0.47999999999999998, u'61 echr 1999']
[0.47999999999999998, u'allow unduly influenced']
[0.47999999999999998, u'appropriate legal advice']
[0.47999999999999998, u'freedom expression article']
[0.47999999999999998, u'implies qualitative requirements']
[0.47999999999999998, u'importance freedom expression']
[0.47999999999999998, u'penal code rikoslaki']
[0.47999999999999998, u'people hatred hostility']
[0.47999999999999998, u'principle sufficient deprive']
[0.47999999999999998, u'role public watchdog']
[0.46999999999999997, u'articles 10 11']
[0.46999999999999997, u'austrian government government']
[0.46999999999999997, u'judgment adopted date']
