[1.0, u'date procedure case']
[0.58999999999999997, u'discrimination article 14']
[0.58999999999999997, u'morals protection rights']
[0.58999999999999997, u'provisions convention protocols']
[0.58999999999999997, u'relevantly similar situations']
[0.58999999999999997, u'respect private life']
[0.57999999999999996, u'question application article']
[0.56999999999999995, u'editorial revision case']
[0.56999999999999995, u'prescribed law necessary']
[0.56999999999999995, u'violation article protocol']
[0.56000000000000005, u'interference necessary democratic']
[0.56000000000000005, u'procedure case originated']
[0.55000000000000004, u'aim sought realised']
[0.55000000000000004, u'judgment adopted mentioned']
[0.55000000000000004, u'pursued legitimate aim']
[0.55000000000000004, u'sufficiently strong clear']
[0.54000000000000004, u'adopted mentioned date']
[0.54000000000000004, u'difference treatment based']
[0.54000000000000004, u'ensure individuals jurisdiction']
[0.54000000000000004, u'human rights building']
[0.53000000000000003, u'objective reasonable justification']
[0.52000000000000002, u'14 18 convention']
[0.52000000000000002, u'child born wedlock']
[0.52000000000000002, u'inhuman degrading treatment']
[0.52000000000000002, u'section registrar having']
[0.51000000000000001, u'exercise right guaranteed']
[0.51000000000000001, u'pursue legitimate aim']
[0.51000000000000001, u'reasons court unanimously']
[0.51000000000000001, u'rights freedoms defined']
[0.5, u'13 convention holds']
[0.5, u'26 april 1979']
[0.5, u'effective official investigation']
[0.5, u'liras rate applicable']
[0.5, u'protection rights freedoms']
[0.5, u'secure jurisdiction rights']
[0.5, u'shall sentenced imprisonment']
[0.5, u'turkey european court']
[0.5, u'turkish liras rate']
[0.48999999999999999, u'allows partial reparation']
[0.48999999999999999, u'conjunction article 10']
[0.48999999999999999, u'costs domestic proceedings']
[0.48999999999999999, u'right peaceful enjoyment']
[0.48999999999999999, u'rights sitting grand']
[0.48999999999999999, u'strong clear concordant']
[0.48999999999999999, u'treatment administered private']
[0.47999999999999998, u'application article 14']
[0.47999999999999998, u'article protocol holds']
[0.47999999999999998, u'articles 13 convention']
[0.47999999999999998, u'case referred court']
[0.47999999999999998, u'court does consider']
[0.47999999999999998, u'essence right impaired']
[0.47999999999999998, u'high contracting parties']
[0.47999999999999998, u'identification punishment responsible']
[0.47999999999999998, u'proportionality means employed']
[0.47999999999999998, u'reasonable relationship proportionality']
[0.47999999999999998, u'thought conscience religion']
[0.47999999999999998, u'treatment based exclusively']
[0.47999999999999998, u'violation article 13']
[0.46999999999999997, u'composed following judges']
[0.46999999999999997, u'personal characteristic status']
[0.46999999999999997, u'positive obligations inherent']
[0.46999999999999997, u'rule 77 rules']
[0.46999999999999997, u'subject editorial revision']
[0.46999999999999997, u'wide margin appreciation']
[0.46000000000000002, u'article 51 para']
[0.46000000000000002, u'case originated applications']
[0.46000000000000002, u'individual excessive burden']
[0.46000000000000002, u'judgment adopted date']
[0.46000000000000002, u'life guaranteed article']
[0.46000000000000002, u'states council europe']
[0.46000000000000002, u'substantive provisions convention']
[0.45000000000000001, u'circumstances subject matter']
[0.45000000000000001, u'disproportionately prejudicial effects']
[0.45000000000000001, u'provided law deprivation']
[0.45000000000000001, u'section sitting chamber']
[0.44, u'degrading treatment punishment']
[0.44, u'ensure free expression']
[0.44, u'leading identification punishment']
[0.44, u'mr eissen registrar']
[0.44, u'taken conjunction article']
[0.42999999999999999, u'criminal charge entitled']
[0.42999999999999999, u'expression opinion people']
[0.42999999999999999, u'extent essence right']
[0.42999999999999999, u'freedom thought conscience']
[0.42999999999999999, u'people choice legislature']
[0.42999999999999999, u'protect right life']
[0.42999999999999999, u'pursuant rule 77']
[0.41999999999999998, u'conjunction article protocol']
[0.41999999999999998, u'determination criminal charge']
[0.41999999999999998, u'family ties parties']
[0.41999999999999998, u'form effective official']
[0.41999999999999998, u'free elections reasonable']
[0.41999999999999998, u'jurisdiction rights freedoms']
[0.41999999999999998, u'mentioned date procedure']
[0.41999999999999998, u'played role events']
[0.41999999999999998, u'violation article taken']
[0.40999999999999998, u'does pursue legitimate']
[0.40999999999999998, u'grand chamber composed']
[0.40999999999999998, u'mr petzold deputy']
[0.40999999999999998, u'parties undertake hold']
[0.40999999999999998, u'quantum recoverable article']
[0.40999999999999998, u'secret ballot conditions']
[0.40999999999999998, u'shall regarded inflicted']
[0.40999999999999998, u'united kingdom government']
[0.40000000000000002, u'bulgarian government government']
[0.40000000000000002, u'european roma rights']
[0.40000000000000002, u'intervals secret ballot']
[0.40000000000000002, u'members security forces']
[0.39000000000000001, u'claims submitted applicants']
[0.39000000000000001, u'european commission racism']
[0.39000000000000001, u'existence effect solely']
[0.39000000000000001, u'necessarily incurred reasonable']
[0.39000000000000001, u'pounds sterling gbp']
[0.38, u'77 rules court']
[0.38, u'ballot conditions ensure']
[0.38, u'clear concordant inferences']
[0.38, u'free expression opinion']
[0.38, u'member states council']
[0.38, u'opinion people choice']
[0.38, u'regarded inflicted contravention']
[0.38, u'relevant provision need']
[0.38, u'subject matter background']
[0.38, u'ties parties living']
[0.38, u'undertake hold free']
[0.37, u'applicant complaint convention']
[0.37, u'articles 13 14']
[0.37, u'conditions ensure free']
[0.37, u'effect lawful arrest']
[0.37, u'mr th\xf3r vilhj\xe1lmsson']
[0.37, u'unless established actually']
[0.35999999999999999, u'accordingly court considers']
[0.35999999999999999, u'article art 14']
[0.35999999999999999, u'eur 15 000']
[0.35999999999999999, u'exhaustion domestic remedies']
[0.35999999999999999, u'judicial review proceedings']
[0.35999999999999999, u'law deprivation life']
[0.35999999999999999, u'life shall regarded']
[0.35999999999999999, u'means employed aim']
[0.35999999999999999, u'petzold deputy registrar']
[0.35999999999999999, u'torture inhuman degrading']
[0.34999999999999998, u'51 convention rule']
[0.34999999999999998, u'accused detriment instance']
[0.34999999999999998, u'art 51 convention']
[0.34999999999999998, u'elections reasonable intervals']
[0.34999999999999998, u'father child born']
[0.34999999999999998, u'obligations criminal charge']
[0.34000000000000002, u'13 convention article']
[0.34000000000000002, u'commission racism intolerance']
[0.34000000000000002, u'effective respect private']
[0.34000000000000002, u'enjoyment rights freedoms']
[0.34000000000000002, u'expenses awarded article']
[0.34000000000000002, u'inflicted contravention article']
[0.34000000000000002, u'way extent essence']
[0.33000000000000002, u'article 11 convention']
[0.33000000000000002, u'circumstances particular case']
[0.33000000000000002, u'civil political rights']
[0.33000000000000002, u'contravention article results']
[0.33000000000000002, u'covenant civil political']
[0.33000000000000002, u'fair balance struck']
[0.33000000000000002, u'hold free elections']
[0.33000000000000002, u'kingdom great britain']
[0.33000000000000002, u'proper functioning democracy']
[0.33000000000000002, u'reasonable intervals secret']
[0.33000000000000002, u'reasonable quantum recoverable']
[0.33000000000000002, u'sitting chamber composed']
[0.33000000000000002, u'turkish liras trl']
[0.32000000000000001, u'basis available evidence']
[0.32000000000000001, u'bratza judge elected']
[0.32000000000000001, u'construed accused detriment']
[0.32000000000000001, u'deprivation life shall']
[0.32000000000000001, u'detriment instance analogy']
[0.32000000000000001, u'effect solely relation']
[0.32000000000000001, u'excessive unsubstantiated argued']
[0.32000000000000001, u'extensively construed accused']
[0.32000000000000001, u'force absolutely necessary']
[0.32000000000000001, u'investigate possible racist']
[0.32000000000000001, u'laws contracting states']
[0.32000000000000001, u'presuppose breach provisions']
[0.32000000000000001, u'teaching practice observance']
[0.32000000000000001, u'unions protection interests']
[0.32000000000000001, u'use force absolutely']
[0.32000000000000001, u'weighty reasons forward']
[0.31, u'adopted date procedure']
[0.31, u'fundamental freedoms convention']
[0.31, u'including right form']
[0.31, u'individual know wording']
[0.31, u'order effect lawful']
[0.31, u'present day conditions']
[0.31, u'respondent state exercised']
[0.31, u'results use force']
[0.31, u'rights building strasbourg']
[0.31, u'social need particular']
[0.31, u'united kingdom great']
[0.31, u'unrebutted presumptions fact']
[0.29999999999999999, u'23 july 1968']
[0.29999999999999999, u'article results use']
[0.29999999999999999, u'bulgaria european court']
[0.29999999999999999, u'criminal law extensively']
[0.29999999999999999, u'great britain northern']
[0.29999999999999999, u'international labour organisation']
[0.29999999999999999, u'mr g\xf6lc\xfckl\xfc mr']
[0.29999999999999999, u'obligations inherent effective']
[0.29999999999999999, u'present case court']
[0.29999999999999999, u'purposes article 14']
[0.29999999999999999, u'republic bulgaria lodged']
[0.29999999999999999, u'required article 13']
[0.29999999999999999, u'sitting grand chamber']
[0.29999999999999999, u'wording relevant provision']
[0.28999999999999998, u'13 14 18']
[0.28999999999999998, u'acts omissions make']
[0.28999999999999998, u'application allocated section']
[0.28999999999999998, u'britain northern ireland']
[0.28999999999999998, u'freedoms convention british']
[0.28999999999999998, u'light present day']
[0.28999999999999998, u'nicolas bratza judge']
[0.28999999999999998, u'recoverable article 41']
[0.28999999999999998, u'regard fair balance']
[0.28999999999999998, u'security public safety']
[0.28999999999999998, u'shall subjected torture']
[0.28999999999999998, u'standard proof reasonable']
[0.28000000000000003, u'echr 2000 ix']
[0.28000000000000003, u'government filed memorial']
[0.28000000000000003, u'inclusive value added']
[0.28000000000000003, u'inherent effective respect']
[0.28000000000000003, u'international covenant civil']
[0.28000000000000003, u'join trade unions']
[0.28000000000000003, u'justification persons relevantly']
[0.28000000000000003, u'law extensively construed']
[0.28000000000000003, u'offence following minimum']
[0.28000000000000003, u'persons relevantly similar']
[0.28000000000000003, u'rights freedoms safeguarded']
[0.28000000000000003, u'treating differently objective']
[0.27000000000000002, u'article 12 convention']
[0.27000000000000002, u'conformity requirements convention']
[0.27000000000000002, u'criminal offence following']
[0.27000000000000002, u'life meaning article']
[0.27000000000000002, u'principle criminal law']
[0.27000000000000002, u'reach decision basis']
[0.27000000000000002, u'reasons court holds']
[0.27000000000000002, u'respect family life']
[0.27000000000000002, u'rule 47 rules']
[0.27000000000000002, u'separate issue arises']
[0.26000000000000001, u'50 art 50']
[0.26000000000000001, u'article 50 art']
[0.26000000000000001, u'association including right']
[0.26000000000000001, u'available evidence submitted']
[0.26000000000000001, u'freedom association including']
[0.26000000000000001, u'general principles law']
[0.26000000000000001, u'independent existence effect']
[0.26000000000000001, u'know wording relevant']
[0.26000000000000001, u'making process seen']
[0.26000000000000001, u'mrs bindschedler robert']
[0.26000000000000001, u'recoverable far relate']
[0.26000000000000001, u'right form join']
[0.26000000000000001, u'right freedom association']
[0.26000000000000001, u'subjected ill treatment']
[0.26000000000000001, u'subjected torture inhuman']
[0.25, u'1979 series 30']
[0.25, u'afford just satisfaction']
[0.25, u'art 50 convention']
[0.25, u'democratic society meaning']
[0.25, u'effective investigation capable']
[0.25, u'eissen registrar mr']
[0.25, u'incurred reasonable quantum']
[0.25, u'liberty security person']
[0.25, u'national authority notwithstanding']
[0.25, u'safety economic country']
[0.25, u'situation existing breach']
[0.25, u'sphere relations individuals']
[0.25, u'worship teaching practice']
[0.23999999999999999, u'affords protection different']
[0.23999999999999999, u'decision basis available']
[0.23999999999999999, u'economic country prevention']
[0.23999999999999999, u'form join trade']
[0.23999999999999999, u'forth convention violated']
[0.23999999999999999, u'government maintained claim']
[0.23999999999999999, u'maintained claim excessive']
[0.23999999999999999, u'notwithstanding violation committed']
[0.23999999999999999, u'peaceful assembly freedom']
[0.23999999999999999, u'possible situation existing']
[0.23999999999999999, u'relationship proportionality means']
[0.23999999999999999, u'sum included fees']
[0.23000000000000001, u'assembly freedom association']
[0.23000000000000001, u'case law costs']
[0.23000000000000001, u'court unanimously decides']
[0.23000000000000001, u'marc andr\xe9 eissen']
[0.23000000000000001, u'protection different treatment']
[0.23000000000000001, u'pursued legitimate aims']
[0.23000000000000001, u'reasonable justification persons']
[0.23000000000000001, u'violated shall effective']
[0.23000000000000001, u'votes respondent state']
[0.22, u'000 compensation non']
[0.22, u'convention subject editorial']
[0.22, u'following minimum rights']
[0.22, u'high contracting party']
[0.22, u'principle legal certainty']
[0.22, u'proportionate legitimate aim']
[0.22, u'relinquished jurisdiction favour']
[0.22, u'similar unrebutted presumptions']
[0.22, u'special consideration given']
[0.22, u'unsubstantiated argued receipt']
[0.20999999999999999, u'according circumstances subject']
[0.20999999999999999, u'acting official capacity']
[0.20999999999999999, u'belief worship teaching']
[0.20999999999999999, u'conjunction article 14']
[0.20999999999999999, u'constitutional court judgment']
[0.20999999999999999, u'define crime prescribe']
[0.20999999999999999, u'determining respondent state']
[0.20999999999999999, u'difference treatment discriminatory']
[0.20999999999999999, u'extent differences similar']
[0.20999999999999999, u'holds violation article']
[0.20999999999999999, u'judgment 21 june']
[0.20999999999999999, u'minimum level severity']
[0.20999999999999999, u'national laws governing']
[0.20999999999999999, u'need particular proportionate']
[0.20999999999999999, u'registrar mr petzold']
[0.20999999999999999, u'religion belief worship']
[0.20999999999999999, u'way restore far']
[0.20000000000000001, u'21 june 2002']
[0.20000000000000001, u'act came force']
[0.20000000000000001, u'alvina gyulumyan egbert']
[0.20000000000000001, u'april 1979 series']
[0.20000000000000001, u'asked court declare']
[0.20000000000000001, u'authority notwithstanding violation']
[0.20000000000000001, u'elected respect united']
[0.20000000000000001, u'facto family ties']
[0.20000000000000001, u'family life right']
[0.20000000000000001, u'ground sexual orientation']
[0.20000000000000001, u'institute criminal proceedings']
[0.20000000000000001, u'laws governing exercise']
[0.20000000000000001, u'particular proportionate legitimate']
[0.20000000000000001, u'presence military judge']
[0.20000000000000001, u'public hearing independent']
[0.20000000000000001, u'right life shall']
[0.20000000000000001, u'shall effective remedy']
[0.20000000000000001, u'takes formal note']
[0.20000000000000001, u'trade unions protection']
[0.20000000000000001, u'violation committed persons']
[0.19, u'44 convention subject']
[0.19, u'argued receipt document']
[0.19, u'article convention taken']
[0.19, u'case law article']
[0.19, u'committed persons acting']
[0.19, u'exercise right marry']
[0.19, u'general measures economic']
[0.19, u'regional court judgment']
[0.19, u'restore far possible']
[0.19, u'violation article 11']
[0.17999999999999999, u'14 august 2002']
[0.17999999999999999, u'25 july 2000']
[0.17999999999999999, u'article 10 convention']
[0.17999999999999999, u'baka mr maruste']
[0.17999999999999999, u'boundaries state positive']
[0.17999999999999999, u'busk madsen pedersen']
[0.17999999999999999, u'contracting parties undertake']
[0.17999999999999999, u'crime prescribe penalty']
[0.17999999999999999, u'discretion manner conform']
[0.17999999999999999, u'freedom manifest religion']
[0.17999999999999999, u'gyulumyan egbert myjer']
[0.17999999999999999, u'having regard foregoing']
[0.17999999999999999, u'holds need examine']
[0.17999999999999999, u'measures economic social']
[0.17999999999999999, u'ministry justice applicants']
[0.17999999999999999, u'proof reasonable doubt']
[0.17999999999999999, u'sex age state']
[0.17999999999999999, u'treatment punishment article']
[0.17000000000000001, u'age state health']
[0.17000000000000001, u'applicant complained authorities']
[0.17000000000000001, u'application article 37']
[0.17000000000000001, u'breach rights article']
[0.17000000000000001, u'employed aim sought']
[0.17000000000000001, u'just satisfaction injured']
[0.17000000000000001, u'legitimate aim pursued']
[0.17000000000000001, u'life shall protected']
[0.17000000000000001, u'persons acting official']
[0.17000000000000001, u'public safety economic']
[0.17000000000000001, u'respondent state obligation']
[0.17000000000000001, u'state fixing regulatory']
[0.17000000000000001, u'tribunal meaning article']
