[0.68000000000000005, u'steps safeguard lives']
[0.65000000000000002, u'case originated application']
[0.62, u'appropriate steps safeguard']
[0.62, u'life shall protected']
[0.62, u'shall protected law']
[0.60999999999999999, u'domestic law practice']
[0.59999999999999998, u'deficiency investigation undermines']
[0.58999999999999997, u'documents submitted government']
[0.58999999999999997, u'reports judgments decisions']
[0.58999999999999997, u'right life shall']
[0.56999999999999995, u'arises article convention']
[0.56999999999999995, u'lending rate european']
[0.56999999999999995, u'positive obligation protect']
[0.56000000000000005, u'article convention provides']
[0.56000000000000005, u'court considers circumstances']
[0.56000000000000005, u'dismisses preliminary objection']
[0.56000000000000005, u'government represented agent']
[0.56000000000000005, u'reasons court unanimously']
[0.55000000000000004, u'court notes outset']
[0.55000000000000004, u'real risk subjected']
[0.54000000000000004, u'77 rules court']
[0.54000000000000004, u'exclusive control authorities']
[0.54000000000000004, u'violation convention appropriate']
[0.53000000000000003, u'did reasonably expected']
[0.53000000000000003, u'open criminal investigation']
[0.53000000000000003, u'state pay applicant']
[0.52000000000000002, u'claimed applicant violation']
[0.52000000000000002, u'court does consider']
[0.52000000000000002, u'editorial revision case']
[0.52000000000000002, u'police officers involved']
[0.52000000000000002, u'sitting chamber composed']
[0.52000000000000002, u'turkey european court']
[0.51000000000000001, u'34 convention protection']
[0.51000000000000001, u'actually incurred second']
[0.51000000000000001, u'bulgaria european court']
[0.51000000000000001, u'court considers necessary']
[0.51000000000000001, u'criminal investigation file']
[0.51000000000000001, u'enshrines basic values']
[0.51000000000000001, u'explanation insufficient justify']
[0.51000000000000001, u'implicated events means']
[0.51000000000000001, u'positive obligations article']
[0.5, u'force used strictly']
[0.5, u'infringement right life']
[0.5, u'non pecuniary damage']
[0.5, u'procedure case originated']
[0.5, u'representative russian federation']
[0.5, u'violation article 14']
[0.48999999999999999, u'judgment adopted date']
[0.48999999999999999, u'law enforcement bodies']
[0.48999999999999999, u'making council europe']
[0.48999999999999999, u'obligation article convention']
[0.48999999999999999, u'operate effectively practice']
[0.48999999999999999, u'planning control actions']
[0.48999999999999999, u'procedural obligation carry']
[0.48999999999999999, u'provides right life']
[0.48999999999999999, u'societies making council']
[0.48999999999999999, u'unacknowledged detention complete']
[0.47999999999999998, u'adherence rule law']
[0.47999999999999998, u'carry meaningful investigation']
[0.47999999999999998, u'high contracting parties']
[0.47999999999999998, u'object purpose convention']
[0.47999999999999998, u'obligation carry effective']
[0.47999999999999998, u'procedural obligation article']
[0.47999999999999998, u'rule 77 rules']
[0.47999999999999998, u'state pay months']
[0.47999999999999998, u'stated did know']
[0.47999999999999998, u'submit information hands']
[0.46999999999999997, u'bulgarian government government']
[0.46999999999999997, u'effective investigation capable']
[0.46999999999999997, u'greatest extent possible']
[0.46999999999999997, u'law deprivation life']
[0.46999999999999997, u'obligations article convention']
[0.46999999999999997, u'public human rights']
[0.46000000000000002, u'article convention reads']
[0.46000000000000002, u'circumstances surrounding death']
[0.46000000000000002, u'conjunction articles convention']
